Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,8.99577152e-06,0.00109899467,0,0
1030,0,0,0,0,0,0
30100,0,0,0,0,0,0
