Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.0570169351,0.436181534,0,0
1030,0,0,0.0311298651,0.80978284,0,0
30100,0,0,0.0423284088,1.37658606,0,0
