Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.0177555004,0.238537513,0,0
1030,0,0,0.0131466584,0.499490557,0,0
30100,0,0,0.00631137872,0.562259271,0,0
