Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.0111534053,0.258380003,0,0
1030,0,0,0.0515725302,1.09646261,0,0
30100,0,0,0.0523168131,1.4477172,0,0
