Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.164153478,0.806892314,0,0
1030,0,0,0.174907549,1.86305316,0,0
30100,0,0,0.260165181,3.83743982,0,0
