Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.00567586633,0.175280187,0,0
1030,0,0,0.0067357646,0.384202411,0,0
30100,0,0,0.00260353467,0.318068408,0,0
