Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm,.11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm,22.5mm,27.5mm
37731,10,28,51.16,5.2189,86.362,1349.7,4.04E+05,1.46E+05,2.35E+05,2.15E+05,1.07E+05,1.59E+05,70300,0,17300,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37732,10,28,52.16,5.2202,86.515,1350.2,2.56E+05,1.64E+05,1.44E+05,2.69E+05,2.49E+05,1.24E+05,17500,34800,43100,8500,0,8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37733,10,28,53.16,5.2195,86.658,1350.6,2.01E+05,3.81E+05,3.42E+05,3.04E+05,1.60E+05,1.23E+05,87500,52200,34400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37734,10,28,54.16,5.2225,86.655,1350.8,2.38E+05,2.90E+05,2.88E+05,2.15E+05,1.60E+05,35300,1.05E+05,52200,34400,8480,0,8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37735,10,28,55.16,5.1981,86.903,1350.8,2.01E+05,1.99E+05,3.59E+05,2.32E+05,88600,1.23E+05,34900,52000,0,0,8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37736,10,28,56.16,5.1682,87.091,1350.7,3.46E+05,2.71E+05,2.69E+05,3.03E+05,1.77E+05,1.23E+05,34800,69200,17100,8440,8330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37737,10,28,57.16,5.1512,87.126,1350.6,2.55E+05,3.25E+05,2.87E+05,2.49E+05,1.41E+05,35100,0,69200,25700,8440,0,0,0,0,7890,0,0,0,0,0,0,0,0,0,0,0,0,0
37738,10,28,58.16,5.1192,87.476,1350.2,2.90E+05,1.98E+05,4.46E+05,1.95E+05,1.94E+05,52400,69400,86100,17000,8400,16600,0,0,0,0,0,0,0,2860,0,0,0,0,0,0,0,0,0
37739,10,28,59.16,5.1037,87.566,1349.9,3.44E+05,3.23E+05,3.21E+05,2.83E+05,2.28E+05,52400,1.21E+05,17200,8510,8400,8280,8170,0,0,0,0,0,2940,2860,0,0,0,0,0,0,0,0,0
37740,10,29,0.16,5.1077,87.712,1350.5,2.53E+05,3.41E+05,2.85E+05,1.94E+05,1.23E+05,1.05E+05,1.04E+05,34400,17000,25100,0,8160,0,7940,0,0,0,0,0,0,2690,0,0,0,0,0,0,0
37741,10,29,1.16,5.1087,87.87,1349.7,2.52E+05,1.79E+05,3.55E+05,2.65E+05,1.05E+05,1.04E+05,17300,17100,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37742,10,29,2.16,5.102,88.058,1349.4,1.44E+05,2.32E+05,1.77E+05,1.58E+05,2.10E+05,1.21E+05,51700,34200,16900,33400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37743,10,29,3.16,5.0872,88.313,1348.9,1.44E+05,2.14E+05,3.36E+05,1.93E+05,1.92E+05,69200,68700,17100,25300,8320,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37744,10,29,4.16,5.0961,88.323,1348.6,2.69E+05,2.67E+05,2.65E+05,3.16E+05,2.09E+05,1.04E+05,1.37E+05,17100,25300,25000,0,0,7990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37745,10,29,5.16,5.0984,88.555,1348.2,1.79E+05,2.13E+05,2.29E+05,2.63E+05,1.74E+05,34500,68500,51000,16800,0,16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37746,10,29,6.16,5.1083,88.607,1347.3,1.97E+05,2.49E+05,2.29E+05,1.57E+05,2.08E+05,1.38E+05,1.20E+05,1.02E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37747,10,29,7.16,5.1301,88.62,1347.2,1.43E+05,3.37E+05,3.17E+05,1.57E+05,1.74E+05,1.55E+05,51400,68000,8410,16600,8180,8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37748,10,29,8.16,5.105,88.59,1346.8,1.97E+05,2.13E+05,2.82E+05,1.57E+05,3.47E+05,1.21E+05,68500,51000,25200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37749,10,29,9.16,5.1255,88.516,1346.7,3.22E+05,1.24E+05,2.65E+05,1.93E+05,1.91E+05,86300,85700,85100,33700,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0
37750,10,29,10.16,5.1295,88.564,1346.8,1.79E+05,3.37E+05,2.47E+05,2.28E+05,1.74E+05,34500,1.03E+05,68000,42100,0,8190,0,0,0,0,0,0,0,2820,2740,0,0,0,0,0,0,0,0
37751,10,29,11.16,5.146,88.603,1346.6,1.79E+05,3.20E+05,3.17E+05,2.10E+05,1.56E+05,1.90E+05,1.71E+05,34000,0,16600,0,8070,0,7860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37752,10,29,12.16,5.1669,88.423,1346.4,1.79E+05,3.74E+05,3.18E+05,2.45E+05,3.48E+05,2.25E+05,1.03E+05,17000,25300,0,0,0,0,0,7780,7680,3000,0,0,0,0,0,0,0,0,0,0,0
37753,10,29,13.16,5.1611,88.312,1346.6,1.97E+05,3.03E+05,2.30E+05,2.28E+05,2.09E+05,1.73E+05,68700,17100,16900,0,0,0,0,0,7790,0,0,0,0,0,0,0,0,0,0,0,0,0
37754,10,29,14.16,5.159,88.3,1346.6,2.33E+05,3.38E+05,3.71E+05,1.76E+05,1.74E+05,34600,34400,34100,25300,8330,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37755,10,29,15.16,5.1811,88.143,1346.3,3.24E+05,3.75E+05,3.19E+05,2.46E+05,3.49E+05,1.91E+05,51600,34200,25400,0,8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37756,10,29,16.16,5.1654,88.303,1346.6,1.44E+05,1.78E+05,3.89E+05,2.46E+05,1.92E+05,86500,34400,17100,8440,0,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37757,10,29,17.16,5.1949,88.402,1347.1,1.43E+05,2.67E+05,3.71E+05,1.58E+05,2.09E+05,2.25E+05,17200,17000,8430,8320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37758,10,29,18.16,5.2263,88.217,1347.5,1.80E+05,1.78E+05,3.19E+05,1.76E+05,2.27E+05,86600,34400,17100,16900,8330,8220,0,8000,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0
37759,10,29,19.16,5.2048,88.308,1347.9,1.08E+05,1.96E+05,4.24E+05,1.93E+05,87100,1.56E+05,85900,68200,16900,8320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37760,10,29,20.16,5.2509,88.039,1347.6,1.26E+05,3.39E+05,2.48E+05,2.47E+05,1.57E+05,34700,1.03E+05,34200,25400,16700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37761,10,29,21.16,5.2795,88.095,1347.2,1.62E+05,1.79E+05,2.30E+05,1.41E+05,1.57E+05,52000,86100,0,8460,8340,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37762,10,29,22.16,5.2873,88.094,1348.2,1.62E+05,2.32E+05,2.13E+05,2.11E+05,2.10E+05,34700,51700,34200,25400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37763,10,29,23.16,5.276,88.001,1348.6,1.98E+05,1.79E+05,2.84E+05,1.06E+05,1.05E+05,86800,51700,34200,16900,16700,8240,0,0,0,0,0,0,2930,0,0,0,0,0,0,0,0,0,0
37764,10,29,24.16,5.2714,87.695,1347.7,1.63E+05,3.41E+05,2.67E+05,2.47E+05,1.23E+05,1.05E+05,17300,0,17000,16800,16500,0,0,0,0,7740,0,0,0,0,0,0,0,0,0,0,0,0
37765,10,29,25.16,5.2499,87.424,1348.4,1.45E+05,1.80E+05,1.79E+05,4.26E+05,35200,1.05E+05,34700,0,25600,16800,16600,0,0,7970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37766,10,29,26.16,5.2243,87.345,1348.9,2.00E+05,1.80E+05,2.15E+05,2.31E+05,1.06E+05,87500,1.04E+05,51700,34100,0,16600,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37767,10,29,27.16,5.2201,87.155,1348.6,2.55E+05,2.89E+05,2.69E+05,1.60E+05,1.77E+05,35100,69600,17300,0,8430,0,0,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37768,10,29,28.16,5.1823,87.401,1348.8,1.09E+05,1.98E+05,2.32E+05,3.37E+05,2.11E+05,52500,69400,51700,8530,8410,0,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37769,10,29,29.16,5.1761,87.427,1348.1,1.99E+05,3.24E+05,2.50E+05,2.31E+05,2.11E+05,69900,86800,34500,17100,0,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37770,10,29,30.16,5.1782,87.399,1349,2.18E+05,2.16E+05,2.86E+05,1.95E+05,1.76E+05,69900,34700,34500,25600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37771,10,29,31.16,5.2067,87.318,1348.3,1.27E+05,1.44E+05,2.68E+05,1.78E+05,1.76E+05,70000,17400,34500,34100,8420,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37772,10,29,32.16,5.2385,87.143,1348.3,2.00E+05,2.53E+05,1.43E+05,1.60E+05,1.59E+05,1.05E+05,52200,86400,8550,0,0,16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37773,10,29,33.16,5.2218,87.313,1348.4,1.82E+05,2.16E+05,2.33E+05,3.02E+05,70500,52500,17400,34500,34100,0,0,0,0,0,0,0,3040,0,0,2780,0,0,0,0,0,0,0,0
37774,10,29,34.16,5.2105,87.306,1348.4,2.36E+05,5.23E+05,4.11E+05,4.08E+05,2.12E+05,17500,34800,17300,17100,0,0,0,0,7980,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37775,10,29,35.16,5.2142,87.305,1348.3,2.90E+05,1.98E+05,2.86E+05,3.02E+05,2.29E+05,35000,17400,17300,17100,16800,0,0,0,0,0,7780,0,0,0,0,0,0,0,0,0,0,0,0
37776,10,29,36.16,5.2416,87.326,1348.3,2.90E+05,3.06E+05,3.40E+05,3.02E+05,70500,87500,69500,17300,0,8420,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37777,10,29,37.16,5.2851,87.089,1348.2,2.37E+05,3.61E+05,2.51E+05,2.49E+05,1.94E+05,87700,69700,34600,0,16900,8330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37778,10,29,38.16,5.2855,86.961,1348.3,2.73E+05,2.89E+05,3.05E+05,2.67E+05,1.95E+05,1.41E+05,1.05E+05,34600,8570,0,0,8230,0,0,7910,0,0,0,0,0,0,0,0,0,0,0,0,0
37779,10,29,39.16,5.2707,86.98,1347.9,2.19E+05,2.35E+05,2.33E+05,1.78E+05,53100,35100,52300,34600,25700,8450,0,0,8120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37780,10,29,40.16,5.2523,86.914,1347.6,2.01E+05,5.43E+05,1.44E+05,2.68E+05,2.83E+05,17600,1.05E+05,0,8580,8460,0,8230,0,0,7910,0,0,0,0,0,0,0,0,0,0,0,0,0
37781,10,29,41.16,5.2198,86.758,1347.6,3.29E+05,2.72E+05,1.80E+05,1.25E+05,1.06E+05,70500,70000,52100,0,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37782,10,29,42.16,5.1863,86.508,1347.2,2.02E+05,5.46E+05,1.99E+05,1.79E+05,71200,70700,1.05E+05,0,17200,0,0,0,0,0,0,0,3070,0,2890,0,0,0,0,0,0,0,0,0
37783,10,29,43.16,5.1998,86.672,1346.7,2.38E+05,4.36E+05,1.80E+05,1.79E+05,1.42E+05,52900,35000,52100,17200,0,8370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37784,10,29,44.16,5.2393,86.889,1346,3.28E+05,3.80E+05,3.23E+05,1.78E+05,1.42E+05,70300,34900,69400,17200,8460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37785,10,29,45.16,5.2568,87.251,1346,3.27E+05,3.97E+05,2.33E+05,2.31E+05,1.41E+05,1.23E+05,34800,17300,25600,0,8310,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0
37786,10,29,46.16,5.3068,87.07,1345.5,2.91E+05,3.07E+05,1.61E+05,1.78E+05,1.94E+05,1.05E+05,34900,17300,17100,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37787,10,29,47.16,5.3264,87.079,1345.7,1.09E+05,4.52E+05,2.33E+05,1.78E+05,70700,1.05E+05,52300,34600,8560,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37788,10,29,48.16,5.3461,87.045,1346,2.91E+05,5.78E+05,2.51E+05,71200,88400,35100,34900,86500,17100,8450,0,0,0,0,0,0,0,0,2870,0,0,0,0,0,0,0,0,0
37789,10,29,49.16,5.3346,86.976,1346.7,2.73E+05,3.80E+05,3.41E+05,2.32E+05,2.48E+05,17600,34900,34600,0,16900,8340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37790,10,29,50.16,5.356,86.64,1346.5,1.83E+05,3.81E+05,2.16E+05,2.33E+05,1.78E+05,70500,0,0,8600,0,0,0,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37791,10,29,51.16,5.3258,86.446,1346.4,1.47E+05,3.09E+05,3.61E+05,2.51E+05,2.31E+05,70700,0,34900,8620,0,0,0,8170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37792,10,29,52.16,5.2998,86.378,1347.2,2.75E+05,2.91E+05,2.53E+05,3.05E+05,1.43E+05,1.06E+05,0,52300,25900,8510,0,8280,0,8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37793,10,29,53.16,5.3108,86.16,1347.1,4.05E+05,4.93E+05,3.62E+05,1.98E+05,1.96E+05,70900,17600,17500,8650,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37794,10,29,54.16,5.2793,86.451,1347.2,2.57E+05,3.82E+05,3.61E+05,1.97E+05,1.07E+05,70700,17500,0,0,8500,0,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37795,10,29,55.16,5.2854,86.442,1347.6,3.30E+05,4.19E+05,2.17E+05,1.61E+05,1.60E+05,70700,0,52300,0,0,8390,0,0,8060,0,0,0,2980,0,0,0,0,0,0,0,0,0,0
37796,10,29,56.16,5.2791,86.619,1347.6,2.20E+05,3.81E+05,3.25E+05,1.97E+05,1.07E+05,52900,35000,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37797,10,29,57.16,5.2851,86.563,1347.7,4.03E+05,4.00E+05,2.35E+05,1.25E+05,71100,0,0,17400,8610,0,0,0,0,0,0,0,0,0,0,0,2730,0,0,0,0,0,0,0
37798,10,29,58.16,5.2987,86.59,1347.8,3.84E+05,4.36E+05,3.79E+05,89500,71100,1.24E+05,0,17400,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37799,10,29,59.16,5.3125,87.004,1347.9,3.28E+05,4.52E+05,1.62E+05,1.07E+05,1.95E+05,87800,0,17300,17100,0,8330,0,0,0,0,0,0,0,0,0,0,1300,0,0,0,0,0,0
37800,10,30,0.16,5.3608,87.01,1347.7,3.28E+05,5.42E+05,1.44E+05,1.43E+05,35400,52700,0,51900,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37801,10,30,1.16,5.3458,87.401,1348,4.17E+05,3.60E+05,3.93E+05,1.42E+05,88000,1.05E+05,69400,34500,17100,8410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37802,10,30,2.16,5.3531,87.371,1347.9,2.90E+05,4.50E+05,3.57E+05,1.95E+05,88100,17500,52100,51700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37803,10,30,3.16,5.3285,87.507,1347.6,4.17E+05,5.03E+05,3.39E+05,1.59E+05,1.58E+05,34900,17300,17200,8520,16800,8290,0,0,7960,0,0,3040,0,0,0,0,0,0,0,0,0,0,0
37804,10,30,4.16,5.3411,87.36,1347.6,3.99E+05,3.24E+05,2.68E+05,1.77E+05,1.06E+05,87500,1.04E+05,34500,25600,16800,0,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37805,10,30,5.16,5.3421,87.647,1347.6,3.44E+05,3.95E+05,2.49E+05,1.41E+05,1.23E+05,1.22E+05,17300,85900,8500,8390,0,0,0,0,0,7750,0,0,0,0,0,0,0,0,0,0,0,0
37806,10,30,6.16,5.3517,87.823,1347.5,3.25E+05,2.33E+05,2.67E+05,88300,1.40E+05,69600,86400,34300,8490,0,8260,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37807,10,30,7.16,5.3767,87.82,1347.1,3.07E+05,4.30E+05,2.31E+05,1.59E+05,87600,34800,51800,34300,17000,0,0,8150,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37808,10,30,8.16,5.3833,87.968,1346.8,2.52E+05,4.29E+05,1.60E+05,1.23E+05,70000,1.22E+05,34500,1.03E+05,42400,8360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37809,10,30,9.16,5.3915,87.887,1347.2,2.34E+05,3.58E+05,2.67E+05,1.76E+05,70000,1.22E+05,1.04E+05,51400,8480,0,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37810,10,30,10.16,5.3787,87.775,1346.8,2.89E+05,4.12E+05,2.67E+05,1.06E+05,1.40E+05,1.22E+05,17300,0,8490,8380,0,0,8040,7940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37811,10,30,11.16,5.3581,87.638,1346.8,2.71E+05,5.03E+05,2.67E+05,2.83E+05,1.93E+05,87200,1.04E+05,51600,34000,16800,8270,8160,16100,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37812,10,30,12.16,5.321,87.819,1347.1,3.43E+05,5.73E+05,3.20E+05,1.94E+05,2.28E+05,1.04E+05,86400,68600,25500,0,8260,0,0,0,0,0,3030,0,0,2770,0,0,0,0,0,0,0,0
37813,10,30,13.16,5.3313,87.634,1346.8,3.62E+05,5.39E+05,4.10E+05,2.65E+05,2.28E+05,1.05E+05,1.04E+05,86000,42500,8390,8270,0,0,0,0,0,3030,0,0,0,0,0,0,0,0,0,0,0
37814,10,30,14.16,5.2909,88.027,1347.2,4.50E+05,3.57E+05,3.02E+05,1.41E+05,1.57E+05,1.22E+05,34500,68500,33900,0,0,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37815,10,30,15.16,5.2931,87.969,1347.3,2.88E+05,5.01E+05,3.73E+05,2.29E+05,87500,69500,1.21E+05,17100,16900,8360,0,0,0,0,0,7720,0,0,0,0,0,0,0,0,0,0,0,0
37816,10,30,16.16,5.2617,87.998,1347.3,2.52E+05,5.54E+05,1.77E+05,1.23E+05,1.22E+05,1.04E+05,1.72E+05,51400,8470,8350,0,0,0,0,0,7720,0,0,0,0,0,0,0,0,0,0,0,0
37817,10,30,17.16,5.2909,87.927,1348,3.60E+05,2.86E+05,2.13E+05,2.29E+05,1.58E+05,2.09E+05,1.38E+05,68500,25400,0,0,8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37818,10,30,18.16,5.3131,87.776,1347.5,3.43E+05,3.05E+05,1.96E+05,1.77E+05,1.05E+05,1.22E+05,86400,85800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37819,10,30,19.16,5.2832,88.134,1347.6,3.42E+05,3.93E+05,4.25E+05,2.99E+05,69900,52000,1.55E+05,1.03E+05,25400,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37820,10,30,20.16,5.2635,88.208,1347.4,3.23E+05,3.75E+05,3.54E+05,1.76E+05,1.92E+05,86600,51600,51200,25400,8330,0,0,0,0,0,0,0,0,2840,0,0,0,0,0,0,0,0,0
37821,10,30,21.16,5.2517,88.078,1347.7,3.24E+05,4.82E+05,3.72E+05,2.64E+05,1.22E+05,86700,86100,51300,8460,8350,0,0,8020,7910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37822,10,30,22.16,5.2219,88.183,1347.5,2.34E+05,4.10E+05,3.54E+05,2.29E+05,1.40E+05,1.21E+05,1.38E+05,34200,16900,8340,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0,0
37823,10,30,23.16,5.2211,88.319,1347.7,2.69E+05,3.03E+05,2.48E+05,1.93E+05,1.74E+05,51900,1.03E+05,1.19E+05,25300,8320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37824,10,30,24.16,5.212,88.239,1347.8,3.59E+05,4.64E+05,2.65E+05,3.16E+05,1.92E+05,1.56E+05,1.03E+05,85400,8450,0,16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37825,10,30,25.16,5.1993,88.404,1347.5,4.12E+05,3.91E+05,3.71E+05,3.16E+05,1.22E+05,1.56E+05,1.03E+05,17000,50600,8320,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0
37826,10,30,26.16,5.2096,88.641,1347.5,4.11E+05,3.90E+05,2.47E+05,2.10E+05,1.22E+05,1.21E+05,85600,68000,50500,8290,0,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37827,10,30,27.16,5.2406,88.739,1347.1,4.82E+05,2.48E+05,2.29E+05,2.27E+05,2.08E+05,1.72E+05,1.03E+05,84900,16800,0,16300,0,0,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0
37828,10,30,28.16,5.2884,88.641,1346.9,3.58E+05,4.08E+05,3.35E+05,2.45E+05,1.04E+05,1.38E+05,2.05E+05,17000,33600,8290,0,0,0,0,0,0,0,2910,0,0,0,0,0,0,0,0,0,0
37829,10,30,29.16,5.2765,89.044,1347.3,2.67E+05,4.24E+05,3.16E+05,2.26E+05,1.73E+05,85800,34100,84600,16700,8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37830,10,30,30.16,5.299,89.098,1346.7,2.67E+05,2.12E+05,2.45E+05,3.13E+05,1.73E+05,1.37E+05,51100,16900,25100,0,8140,0,0,0,0,0,0,0,0,2730,0,0,0,0,0,0,0,0
37831,10,30,31.16,5.3148,88.986,1346.8,3.74E+05,4.42E+05,4.39E+05,1.92E+05,2.08E+05,1.37E+05,1.19E+05,16900,8380,0,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37832,10,30,32.16,5.3093,88.883,1347.6,2.50E+05,3.36E+05,3.87E+05,3.31E+05,1.73E+05,1.38E+05,68300,67800,0,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0
37833,10,30,33.16,5.2913,88.723,1347.2,3.75E+05,3.01E+05,4.05E+05,2.10E+05,1.04E+05,34400,17100,67900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37834,10,30,34.16,5.2504,88.763,1346.9,3.57E+05,6.91E+05,3.34E+05,1.92E+05,1.73E+05,86100,68400,1.19E+05,8400,8280,0,0,0,0,0,0,0,0,2820,0,0,0,0,0,0,0,0,0
37835,10,30,35.16,5.2327,88.897,1347.1,3.03E+05,4.78E+05,3.69E+05,2.09E+05,1.21E+05,34400,17100,16900,16800,0,0,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37836,10,30,36.16,5.2461,88.719,1347,1.96E+05,4.43E+05,4.40E+05,1.57E+05,86700,17200,68400,1.02E+05,33600,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0
37837,10,30,37.16,5.2602,88.754,1347.1,3.21E+05,4.43E+05,2.99E+05,34900,1.39E+05,17200,1.03E+05,50900,42000,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37838,10,30,38.16,5.3057,88.913,1347.2,1.96E+05,2.12E+05,2.63E+05,1.22E+05,1.04E+05,1.03E+05,51200,50800,16800,8270,8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37839,10,30,39.16,5.3702,88.523,1347.4,1.61E+05,2.31E+05,3.35E+05,1.05E+05,1.04E+05,1.38E+05,68600,68100,25300,0,0,0,0,0,0,0,0,0,0,0,2670,0,0,0,0,0,0,0
37840,10,30,40.16,5.3219,88.84,1347.3,1.61E+05,3.01E+05,3.69E+05,1.74E+05,69300,51600,51200,33900,8390,8270,0,0,0,0,0,0,0,2900,0,0,0,0,0,0,0,0,0,0
37841,10,30,41.16,5.2985,89.221,1347.4,1.60E+05,2.47E+05,2.63E+05,1.56E+05,86300,17100,68000,50700,25100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37842,10,30,42.16,5.2997,89.098,1347.4,2.13E+05,3.35E+05,2.98E+05,2.09E+05,51800,1.03E+05,1.02E+05,50700,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37843,10,30,43.16,5.2936,89.067,1347.3,2.14E+05,4.24E+05,3.86E+05,1.57E+05,1.21E+05,1.20E+05,1.36E+05,33800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37844,10,30,44.16,5.2975,89.068,1347.7,1.07E+05,3.89E+05,2.45E+05,1.74E+05,2.25E+05,1.20E+05,68100,50700,8370,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37845,10,30,45.16,5.3478,88.778,1347.4,1.96E+05,5.14E+05,3.69E+05,1.57E+05,1.04E+05,1.89E+05,34200,50900,25200,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0,0
37846,10,30,46.16,5.3029,89.387,1347.6,1.77E+05,2.64E+05,4.02E+05,2.08E+05,1.72E+05,1.03E+05,67900,33700,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37847,10,30,47.16,5.3473,88.862,1347.3,1.78E+05,4.07E+05,3.34E+05,2.44E+05,1.56E+05,2.41E+05,1.02E+05,50900,0,24800,0,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37848,10,30,48.16,5.3385,88.701,1347.2,2.14E+05,3.19E+05,3.52E+05,1.57E+05,1.74E+05,1.03E+05,85500,17000,0,0,8180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37849,10,30,49.16,5.3125,88.636,1347.5,2.15E+05,2.48E+05,3.35E+05,4.20E+05,1.74E+05,1.90E+05,85600,68000,33600,8290,0,8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37850,10,30,50.16,5.3091,88.441,1347.3,1.61E+05,3.91E+05,4.24E+05,4.38E+05,2.78E+05,2.25E+05,34300,34100,8430,8310,0,8090,7980,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0
37851,10,30,51.16,5.3199,88.677,1347.3,3.22E+05,4.79E+05,3.35E+05,4.20E+05,2.95E+05,1.38E+05,51300,68000,8410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
