Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm,.11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm,22.5mm,27.5mm
37644,10,27,24.16,5.1592,88.322,1351.9,2.33E+05,4.63E+05,8.49E+05,9.83E+05,5.40E+05,3.29E+05,1.37E+05,51200,25300,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0
37645,10,27,25.16,5.1731,88.166,1351,1.62E+05,5.71E+05,1.06E+06,7.91E+05,6.46E+05,3.29E+05,86000,34200,50700,0,0,0,0,0,0,0,3010,0,0,0,0,0,0,0,0,0,0,0
37646,10,27,26.16,5.1837,88.015,1349.9,2.34E+05,5.54E+05,8.87E+05,8.45E+05,5.42E+05,2.43E+05,2.07E+05,51300,8470,0,0,8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37647,10,27,27.16,5.2149,87.645,1348.9,2.35E+05,6.64E+05,9.62E+05,7.43E+05,4.39E+05,3.14E+05,2.25E+05,68800,0,0,0,8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37648,10,27,28.16,5.1961,87.729,1348.3,2.17E+05,4.84E+05,6.41E+05,1.02E+06,5.09E+05,4.35E+05,2.08E+05,85900,17000,16800,0,0,0,0,7840,7740,0,0,0,0,0,0,0,0,0,0,0,0
37649,10,27,29.16,5.2234,87.461,1347.7,1.99E+05,3.78E+05,5.36E+05,7.98E+05,3.17E+05,2.80E+05,1.56E+05,51700,8520,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37650,10,27,30.16,5.2125,87.462,1347.7,2.90E+05,3.24E+05,9.64E+05,6.56E+05,4.40E+05,2.80E+05,1.21E+05,51700,0,8410,8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37651,10,27,31.16,5.2426,87.455,1347.2,1.27E+05,3.42E+05,6.79E+05,7.27E+05,2.99E+05,5.77E+05,2.95E+05,51700,0,8410,8290,0,0,0,0,0,3040,0,0,0,0,0,0,0,0,0,0,0
37652,10,27,32.16,5.2899,87.482,1346.6,1.81E+05,5.21E+05,8.57E+05,5.14E+05,6.51E+05,4.54E+05,2.95E+05,51700,8520,0,0,16400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37653,10,27,33.16,5.3288,87.451,1346.6,3.62E+05,4.68E+05,9.11E+05,9.22E+05,7.04E+05,3.15E+05,1.91E+05,86100,34100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37654,10,27,34.16,5.3196,87.356,1346.9,2.18E+05,5.04E+05,9.65E+05,6.39E+05,4.58E+05,2.80E+05,1.91E+05,51700,8530,16800,0,0,0,7980,0,7770,0,0,2860,0,0,0,0,0,0,0,0,0
37655,10,27,35.16,5.262,87.599,1348.1,2.71E+05,7.00E+05,9.27E+05,6.90E+05,4.57E+05,3.14E+05,1.04E+05,86000,51100,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37656,10,27,36.16,5.2307,87.542,1348.1,2.90E+05,6.29E+05,1.14E+06,9.74E+05,6.33E+05,4.54E+05,2.25E+05,68800,8510,8400,0,0,0,0,7860,7760,3040,0,2860,0,0,0,0,0,0,0,0,0
37657,10,27,37.16,5.2175,87.367,1348.5,3.08E+05,6.66E+05,1.16E+06,6.74E+05,6.17E+05,3.15E+05,86800,51700,8530,0,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37658,10,27,38.16,5.1754,87.605,1349.1,2.17E+05,8.62E+05,8.02E+05,1.01E+06,5.45E+05,2.79E+05,1.39E+05,34400,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37659,10,27,39.16,5.156,87.549,1349.5,2.35E+05,5.21E+05,8.03E+05,8.68E+05,3.52E+05,87300,86600,51600,0,0,0,16300,0,0,7860,0,0,0,0,0,0,0,0,0,0,0,0,0
37660,10,27,40.16,5.1538,87.338,1349.4,2.54E+05,6.66E+05,9.30E+05,5.50E+05,3.17E+05,87500,86900,34500,0,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37661,10,27,41.16,5.1401,87.244,1349.7,4.54E+05,6.85E+05,1.04E+06,7.46E+05,4.23E+05,1.93E+05,52200,34500,25600,0,16600,0,8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37662,10,27,42.16,5.1351,86.884,1349.6,4.56E+05,8.15E+05,1.11E+06,9.81E+05,4.25E+05,2.29E+05,1.92E+05,52000,25700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37663,10,27,43.16,5.0779,87.118,1349.7,2.73E+05,7.76E+05,1.06E+06,8.01E+05,3.89E+05,2.46E+05,1.39E+05,51900,17100,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37664,10,27,44.16,5.0818,86.764,1349.2,3.29E+05,6.35E+05,7.74E+05,5.00E+05,2.66E+05,3.17E+05,1.22E+05,34700,25800,0,8360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37665,10,27,45.16,5.0947,86.684,1349.3,4.39E+05,6.90E+05,8.83E+05,5.19E+05,3.37E+05,3.17E+05,1.23E+05,34800,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37666,10,27,46.16,5.1308,86.627,1348.8,3.84E+05,9.08E+05,9.91E+05,5.01E+05,4.97E+05,1.41E+05,1.58E+05,52200,8600,17000,0,0,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0
