Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.178059771,0.938962726,0,0
1030,0,0,0.163317046,1.71000107,0,0
30100,0,0,0.298946668,4.17454385,0,0
