62 1001
Mike Poellot
University of North Dakota
UND Citation II (N555DS)
MC3E 2011
1 1
2011 06 01 2013 07 18
      1.0000
Time [second]; UT seconds from midnight on day aircraft flight started
44
      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000   1.0000000   1.0000000   1.0000000      1.0000   1.0000000    1.000000     1.00000     1.00000   1.0000000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000      1.0000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000    1.000000           1      1.0000           1
 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 9999.999999 99999999999 999999.9999      999999
Air Temperature Corrected for Dynamic Heating (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [degC]
Mach Number (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument)
Indicated Air Speed (Based first on the main pitot instrument and secondarly based on the backup pitot instrument) [m/s]
True Air Speed (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [m/s]
Pressure Altitude [m]
Potential Temperature (Based first on the main temperatue/pitot instrument and secondarly based on the backup temperature/pitot instrument) [degK]
Pitot Pressure from Wing Probe [hPa] {Calibration:  slope = 60.797701 offset = -150.48263}
Aircraft Cabin Pressure [millibar]
Static Pressure [hPa] {Calibration:  slope = 207.08000 offset = -0.71000000}
Dewpoint Temperature from EG&G Probe [degC] {Calibration:  slope = 20.000000 offset = -70.000000}
Mixing Ratio by weight from the Laser Hygrometer [ppmw]
Dew Point Temperature from the Laser Hygrometer [degrees Celsius]
Frost Point Temperature from the Laser Hygrometer [degrees Celsius]
Aircraft Roll Angle from the Applanix POS System [degrees]
Aircraft Pitch Angle from the Applanix POS System [degrees]
Aircraft Heading Angle [degrees]; 0-360 with 0 being North
Aircraft Z-direction (Vertical) Acceleration for the Applanix POS system [m/s^2]
Aircraft Latitude from the Applanix POS System [degrees]
Aircraft Longitude from the Applanix POS system [degrees]
Aircraft Altitude from the Applanix POS system [m]
Aircraft Speed from the Applanix POS system [m/s]
Aircraft Track Angle [degrees]; 0-360 with 0 being North
Alpha (Attack) Angle [degrees] {Calibration:  slope = 0.070310700 offset = 0.33308870}
Beta (Sideslip) Angle [degrees] {Calibration:  slope = -0.073846080 offset = -1.6202790}
Vertical Velocity of the aircraft based on the change in position over a 2 seceond interval [m/s]
Z (Vertical) Component of the Wind Speed [m/s]
Horizontal Wind Speed [m/s]
Horizontal Wind Direction [degrees]; True Direction From Which it Blows
Turbulence parameter (Eddy Dissipation Rate) based on Wing Pitot pressure [cm^2/3*s^-1]
Liquid Water Content based on King Probe measurement adjusted (cloud threshold =  5.1 [#/cm^3], cloud interval = 30.0 [s] and adjustment slope = 0.500) for the baseline offset [g/m^3]
Total Water Content based on the Nevzorov Probe measurement
Liquid Water Content based on the Nevzorov Probe measurement with correction for  residual ice (beta = 0.110000) [g/m^3]
Number Concentration of Droplets Based on the Cloud Droplet Probe [#/cc]
Liquid Water Content Based on the Cloud Droplet Probe [g/m^3]
Cloud Droplet Probe's Mean Droplet Diameter [um]
Cloud Droplet Probe's Mean Droplet Volume Diameter [um]
Cloud Droplet Probe's Effective Droplet Radius [um]
Number concentration of droplets based on the 2-DC Probe measurements [#/cm^3]
Mean droplet diameter based on the 2-DC Probe measurements [um]
Mean droplet volume diameter based on the 2-DC Probe measurements [um]
Effective droplet radius based on the 2-DC Probe measurements [um]
The current Sensor (MSO) frequency from the Icing Detector [Hz]
Total Concentration from CPC [#/cm^3]
Date Stamp based on data file name (Example: 941119 is 19 November 1994) [stamp]
0
4
Preliminary Data (Average is missing value code only if all values within the time period are missing value code.)
1 Hz Data
 Time        Air_Temp    MachNo_N    IAS         TAS         Press_Alt   Pot_Temp_T1 Pitot_Wing  CABIN_PRES  STATIC_PR   DEWPT       MixingRatio DewPoint    FrostPoint  POS_Roll    POS_Pitch   POS_Head    POSZ_Acc    POS_Lat     POS_Lon     POS_Alt     POS_Spd     POS_Trk     Alpha       Beta        VERT_VEL    Wind_Z      Wind_M      Wind_D      TURB        King_LWC_ad Nev_TWC     Nev_LWCcor  CDP_Conc    CDP_LWC     CDP_MenD    CDP_VolDia  CDP_EffRad  2-DC_Conc   2-DC_MenD   2-DC_VolDia 2-DC_EffRad IceMSOFreq  CPCConc     TSG_Date   
 second      degC        None        m/s         m/s         m           decK        hPa         hPa         hPa         degC        ppmw        C           C           degrees     degrees     degrees     MPsec2      degrees     degrees     m           MPsec       degrees     degrees     degrees     MPsec       MPsec       MPsec       degrees     cm^2/3*s^-1 g/m^3       g/m^3       g/m^3       #/cm^3      g/m^3       um          um          um          #/cm^3      um          um          um          Hz          #/cm^3      stamp      
  58830.2000     29.4598      0.0411     13.7961     14.3438    238.6182    303.9305      1.4556    989.0656    984.8816 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58831.2000     29.4721      0.0420     14.1060     14.6663    238.6182    303.9429      1.4374    989.0808    984.8816 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    1.752001    0.000018    2.527200    3.093995    1.271809    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58832.2000     29.4727      0.0425     14.2672     14.8338    238.3923    303.9411      1.4426    989.0522    984.9081 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980 999999.9999      110601
  58833.2000     29.4701      0.0429     14.4018     14.9735    238.3063    303.9376      1.4452    989.0471    984.9182 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990 999999.9999      110601
  58834.2000     29.4776      0.0428     14.3642     14.9348    238.4784    303.9470      1.4571    989.1093    984.8980 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58835.2000     29.4862      0.0415     13.9297     14.4830    238.2632    303.9534      1.4604    989.0909    984.9233 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58836.2000     29.4871      0.0423     14.2017     14.7663    238.6934    303.9587      1.4363    989.0959    984.8727 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58837.2000     29.4958      0.0417     13.9725     14.5280    238.5644    303.9661      1.4504    989.0723    984.8879 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58838.2000     29.5082      0.0412     13.8050     14.3541    238.4891    303.9777      1.4537    989.0724    984.8968 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58839.2000     29.5144      0.0409     13.7281     14.2744    238.5536    303.9846      1.4779    988.9950    984.8892 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58840.2000     29.5000      0.0421     14.1199     14.6817    238.9086    303.9739      1.4526    989.1144    984.8475 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1301 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58841.2000     29.5063      0.0405     13.5874     14.1282    238.9086    303.9802      1.4463    989.0892    984.8475 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1474 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58842.2000     29.5119      0.0417     13.9802     14.5365    238.6504    303.9832      1.4445    989.0219    984.8778 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1591 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58843.2000     29.5139      0.0417     13.9797     14.5358    238.3493    303.9821      1.4530    989.0118    984.9132 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1795 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58844.2000     29.5110      0.0423     14.2030     14.7686    239.2205    303.9882      1.4459    989.0371    984.8108 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1979 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58845.2000     29.5056      0.0420     14.0776     14.6382    239.3710    303.9843      1.4441    989.0152    984.7931 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.2082 999999.9999 999999.9999 999999.9999    0.542016    0.000691   13.455450   13.455450    6.727725    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58846.2000     29.4999      0.0424     14.2355     14.8018    238.7902    303.9725      1.4604    988.9967    984.8614 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.2175 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58847.2000     29.4980      0.0420     14.0749     14.6349    239.0269    303.9731      1.4348    988.9698    984.8336 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.2998 999999.9999 999999.9999 999999.9999    0.550473    0.000594   12.723300   12.723300    6.361650    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58848.2000     29.4930      0.0421     14.1222     14.6841    239.1452    303.9693      1.4463    988.9967    984.8197 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.3852 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58849.2000     29.5001      0.0421     14.1189     14.6808    239.0269    303.9752      1.4537    989.0270    984.8336 999999.9999 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.3233 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58850.2000     29.5018      0.0422     14.1713     14.7354    239.1667    303.9784      1.4445    988.9664    984.8171     29.8632 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.4952 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.6000      110601
  58851.2000     29.4964      0.0420     14.1000     14.6609    238.9193    303.9703      1.4485    989.0169    984.8462     29.8594 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5852 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58852.2000     29.4938      0.0420     14.0983     14.6590    238.8225    303.9667      1.4326    989.0102    984.8576     29.8611 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5877 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58853.2000     29.5089      0.0404     13.5343     14.0728    238.7687    303.9813      1.4493    989.0740    984.8639     29.8603 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5969 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58854.2000     29.5236      0.0395     13.2471     13.7746    238.8010    303.9965      1.4645    988.9799    984.8601     29.8618 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5898 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58855.2000     29.5247      0.0409     13.7316     14.2786    239.0268    303.9999      1.4526    989.0085    984.8336     29.8564 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5765 999999.9999 999999.9999 999999.9999    2.308467    0.000045    2.776900    4.497186    2.011601    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58856.2000     29.5297      0.0415     13.9280     14.4829    238.9193    304.0038      1.4526    989.0186    984.8462     29.8613 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5578 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58857.2000     29.5386      0.0415     13.9035     14.4579    239.2312    304.0160      1.4530    988.9816    984.8095     29.8596 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.4834 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58858.2000     29.5394      0.0425     14.2425     14.8107    239.4356    304.0189      1.4582    988.9732    984.7855     29.8598 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.3905 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58859.2000     29.5433      0.0422     14.1548     14.7194    239.2957    304.0214      1.4586    988.9732    984.8020     29.8572 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.3067 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58860.2000     29.5454      0.0425     14.2706     14.8398    239.2527    304.0230      1.4474    989.0354    984.8070     29.8601 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.0676 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58861.2000     29.5450      0.0413     13.8443     14.3963    238.9946    304.0199      1.4905    988.9832    984.8373     29.8608 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.0377 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58862.2000     29.5398      0.0412     13.8124     14.3634    239.5001    304.0200      1.5098    988.9412    984.7779     29.8574 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.0350 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.6000      110601
  58863.2000     29.5349      0.0415     13.9280     14.4834    239.2742    304.0127      1.4964    988.9816    984.8045     29.8564 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.2304 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58864.2000     29.5449      0.0402     13.4946     14.0329    239.2312    304.0223      1.4730    989.0387    984.8095     29.8559 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5198 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58865.2000     29.5352      0.0417     13.9710     14.5288    240.1132    304.0217      1.4330    988.9379    984.7059     29.8574 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.6984 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58866.2000     29.5359      0.0417     13.9703     14.5273    239.2850    304.0138      1.4381    988.9463    984.8032     29.8579 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.7044 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58867.2000     29.5442      0.0412     13.8245     14.3762    239.5862    304.0253      1.4203    989.0102    984.7678     29.8528 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.7183 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58868.2000     29.5448      0.0425     14.2693     14.8389    239.7260    304.0274      1.4311    988.9412    984.7514     29.8557 999999.9999 999999.9999 999999.9999 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.7162 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58869.2000     29.5559      0.0416     13.9548     14.5118    239.4463    304.0356      1.4263    988.9429    984.7843     29.8589  12841.0524     17.1730     17.1730 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.7001 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58870.2000     29.5570      0.0418     14.0307     14.5907    239.3710    304.0359      1.4222    988.9042    984.7931     29.8550  21956.7247     25.7023     25.7023 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.6937 999999.9999 999999.9999 999999.9999    0.575876    0.000013    3.507900    3.507900    1.753950    0.000000 9999.999999 9999.999999 9999.999999       39990      0.6000      110601
  58871.2000     29.5512      0.0414     13.8728     14.4266    239.6184    304.0326      1.4233    988.9463    984.7640     29.8559  18565.0296     22.9924     22.9924 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5907 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
  58872.2000     29.5530      0.0407     13.6486     14.1935    239.5861    304.0341      1.4326    988.9547    984.7678     29.8515  15914.1460     20.5362     20.5362 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.5648 999999.9999 999999.9999 999999.9999    0.578102    0.000013    3.507900    3.507900    1.753950    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58873.2000     29.5473      0.0419     14.0460     14.6066    239.5969    304.0285      1.4137    988.8975    984.7666     29.8513  15039.6266     19.6460     19.6460 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.4211 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39990      0.0000      110601
  58874.2000     29.5376      0.0417     13.9690     14.5261    239.2957    304.0157      1.4185    988.8925    984.8020     29.8547  14661.3614     19.2453     19.2453 999.9999999 999.9999999 999.9999999 999999.9999 999.9999999 9999.999999 99999.99999 99999.99999 999.9999999 999999.9999 999999.9999      0.0000 999999.9999 999999.9999 999999.9999      1.1583 999999.9999 999999.9999 999999.9999    0.000000    0.000000 9999.999999 9999.999999 9999.999999    0.000000 9999.999999 9999.999999 9999.999999       39980      0.0000      110601
