Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.0134064741,0.184074368,0,0
1030,0,0,0.000977838069,0.11946044,0,0
30100,0,0,0.0058714335,0.717300802,0,0
