Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.000232206152,0.00880598959,0,0
1030,0,0,0,0,0,0
30100,0,0,0,0,0,0
