Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0,0,0.414264091,1.60120773,0,0
1030,0,0,0.874523441,3.94381427,0,0
30100,0,0,1.45462224,9.21646823,0,0
