Rain Category,log(No*) Mean,log(No*) Std dev,R Mean,R Std dev,Dm Mean,Dm Std dev
10,0.45665563,1.62185611,0.414264091,1.60120773,0.000140995616,0.000513283252
1030,0.297796841,1.2857404,0.874523441,3.94381427,0.000165023611,0.000752760073
30100,0.133492125,0.802096274,1.45462224,9.21646823,0.000180695164,0.00112464918
