Time        HHMMSS
31037.16    83717.0
30912.16    83512.0
29958.16    81918.0
31569.16    84609.0
29140.16    80540.0
29068.16    80428.0
30036.16    82036.0
29338.16    80858.0
28582.16    75622.0
30083.16    82123.0
30133.16    82213.0
30952.16    83552.0
31447.16    84407.0
30953.16    83553.0
30667.16    83107.0
29010.16    80330.0
30904.16    83504.0
30440.16    82720.0
30527.16    82847.0
31202.16    84002.0
