Rain Category,log(No*) Mean,log(No*) Std,R Mean,R Std,Dm Mean,Dm Std
0-10 mmhr-1,6.37955928299,0.657631417187,4.65342834327,2.58928706408,1.70730941616,0.599634086466
10-30 mmhr-1,5.78958305383,0.617971584243,17.0653248758,5.64884346624,3.215278109,1.15232930715
30-100 mmhr-1,4.9707516901,0.499933254465,55.3373327798,21.172980803,6.45890319883,1.91760573161
